"Date","Location","City","Region","Title","Amount","Department","Views","Trans_details"
"October 27, 2015","Haveri                       , Karnataka","Haveri","Karnataka","Open bribe demanded by officers in shiggaon taluk, haveri district - property Registrar office",10000,"Municipal Services",230,"Registration of Land"
"October 27, 2015","Gwalior                       , Madhya Pradesh","Gwalior","Madhya Pradesh","I Paid Rs. 100 to Passport in Gwalior.",100,"Passport",161,"Passport Delivery"
"October 27, 2015","Achhnera                       , Uttar Pradesh","Achhnera","Uttar Pradesh","I Paid Rs. 5000 to Municipal Services in Achhnera.",5000,"Municipal Services",171,"Birth Certificate"
"October 26, 2015","Mumbai                       , Maharashtra","Mumbai","Maharashtra","I Paid Rs. 10000 to Municipal Services in Mumbai.",10000,"Municipal Services",167,"Birth Certificate"
"October 26, 2015","Madurai                       , Tamil Nadu","Madurai","Tamil Nadu","Corrupt unashamed officers in Madurai DEO Office",2500,"Education",180,"School or College Related Activities"
"October 26, 2015","Mumbai                       , Maharashtra","Mumbai","Maharashtra","I Paid Rs. 400054 to Municipal Services in Mumbai.",400054,"Municipal Services",172,"Birth Certificate"
"October 26, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 46 to Stamps and Registration in New Delhi.",46,"Stamps and Registration",199,"Marriage Certificate"
"October 26, 2015","Tezpur                       , Assam","Tezpur","Assam","I Paid Rs. 18 to Others in Tezpur.",18,"Others",158,"Others"
"October 26, 2015","Mumbai                       , Maharashtra","Mumbai","Maharashtra","I Paid Rs. 10 to Municipal Services in Mumbai.",10,"Municipal Services",149,"Birth Certificate"
"October 26, 2015","Bhubaneswar                       , Orissa","Bhubaneswar","Orissa","I Paid Rs. 3500 to Transport in Bhubaneswar.",3500,"Transport",183,"Registration of Vehicle"
"October 26, 2015","Etawah                       , Uttar Pradesh","Etawah","Uttar Pradesh","I Paid Rs. 123 to Police in Etawah.",123,"Police",161,"Police Harassment"
"October 26, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 200000 to Municipal Services in New Delhi.",2e+05,"Municipal Services",130,"Birth Certificate"
"October 26, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 100 to Police in Bangalore.",100,"Police",151,"Police Harassment"
"October 26, 2015","Madurai                       , Tamil Nadu","Madurai","Tamil Nadu","I Paid Rs. 625000 to Police in Madurai.",625000,"Police",175,"Traffic Violations"
"October 26, 2015","Indore                       , Madhya Pradesh","Indore","Madhya Pradesh","I Paid Rs. 1 to Others in Indore.",1,"Others",135,"Others"
"October 26, 2015","Anandnagaar                       , Assam","Anandnagaar","Assam","I Paid Rs. 15000 to Municipal Services in Anandnagaar.",15000,"Municipal Services",128,"Birth Certificate"
"October 26, 2015","Kolkata                       , West Bengal","Kolkata","West Bengal","I Paid Rs. 10 to Municipal Services in Kolkata.",10,"Municipal Services",119,"Birth Certificate"
"October 26, 2015","Gulbarga                       , Karnataka","Gulbarga","Karnataka","I Paid Rs. 23 to Municipal Services in Gulbarga.",23,"Municipal Services",124,"Birth Certificate"
"October 26, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 20 to Railways in Abhayapuri.",20,"Railways",149,"Transport of Goods"
"October 26, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 13 to Customs, Excise and Service Tax in Abhayapuri.",13,"Customs, Excise and Service Tax",142,"Customs Check and Clearance"
